company_name,website,project_sector,project_state,industry,segment
"Caterpillar",,"Heavy Equipment",Indiana,,
"Sioux Honey",,"Food Processing",Iowa,,
"Electro Freeze (H.C. Duke)",,"Food Equipment Mfg",Iowa,,
"TPI Composites",,"Wind Energy",Iowa,,
"Robinson Inc",,"Metal Fabrication",Iowa,,
"LMT Defense",,"Defense",Iowa,,
"New Horizon Cuisine",,"Food Mfg",Iowa,,
"Dexter Laundry",,"Industrial Equipment",Iowa,,
"Morrison Weighing Systems",,"Industrial Equipment",Iowa,,
"Kraft Heinz",,"Food Processing",Iowa,,
"Critical Materials Recycling",,"Advanced Mfg/Critical Minerals",Iowa,,
"HF Rubber",,"Industrial Equipment",Kansas,,
"Three Dog Brands",,"Food",Kansas,,
"GM Fairfax",,"Automotive",Kansas,,
"Ford Motor Company",,"Automotive/EV",Kentucky,,
"GE Appliances",,"Advanced Mfg",Kentucky,,
"Tate Inc./Kingspan",,"Data Center",Kentucky,,
"Shinsung ST USA",,"Energy Storage",Kentucky,,
"James Composites",,"Advanced Mfg",Kentucky,,
"Saronic Technologies",,"Defense/Autonomous",Louisiana,,
"Walmart",,"Logistics",Louisiana,,
"SLB",,"Data Center/Tech",Louisiana,,
"The Shaw Group",,"Advanced Mfg",Louisiana,,
"Ampirical",,"Grid/Engineering",Louisiana,,
"Viking Attachments",,"Advanced Mfg",Louisiana,,
"Hut 8",,"Data Center/AI",Louisiana,,
"ElementUSA",,"Critical Minerals",Louisiana,,
"Epic Piping",,"Industrial Mfg",Louisiana,,
"Plastipak Packaging",,"Packaging",Louisiana,,
"Pipe & Steel Industrial",,"Industrial Mfg",Louisiana,,
"MD Manufacturing 4.0",,"Advanced Mfg",Maryland,,
"Samsung Biologics",,"Life Sciences",Maryland,,
"AstraZeneca",,"Life Sciences",Texas,,
"Patton/PTI",,"Defense/Electronics",Maryland,,
"Syngene International",,"Life Sciences",Maryland,,
"TransMedics",,"Life Sciences",Massachusetts,,
"DuPont/DDP",,"EV Materials",Michigan,,
"Legacy Port Huron Paper",,"Advanced Mfg",Michigan,,
"Volkswagen",,"Automotive",Michigan,,
"Utilidata",,"Grid/Tech",Michigan,,
"MOTIV Bowling",,"Advanced Mfg",Michigan,,
"Oerlikon",,"Advanced Mfg",Michigan,,
"Louisiana-Pacific",,"Wood Products",Minnesota,,
"Sofidel",,"Paper Products",Minnesota,,
"Forgent Power Solutions",,"Grid/Power",Minnesota,,
"Delkor",,"Advanced Mfg",Minnesota,,
"xAI",,"Data Center/AI",Mississippi,,
"Entergy Mississippi",,"Energy/Power/GRID",Mississippi,,
"BWC Terminals",,"Energy/Logistics",Mississippi,,
"Toyota",,"Automotive",Kentucky,,
"Canfor",,"Forest Products",Mississippi,,
"Missouri Technology Corp",,"Various",Missouri,,
"SRC Technologies",,"Defense/Electronics",Missouri,,
"Bozeman Photonics",,"Photonics/Advanced Mfg",Montana,,
"BD (Becton Dickinson)",,"Life Sciences/Medical",Nebraska,,
"Hitchiner",,"Aerospace/Auto",New Hampshire,,
"Celltrion",,"Life Sciences",New Jersey,,
"CMP Advanced Mechanical Solutions",,"Battery",New York,,
"Reju",,"Advanced Mfg",New York,,
"JetZero",,"Aerospace",North Carolina,,
"Johnson & Johnson",,"Life Sciences",North Carolina,,
"Scout Motors",,"Automotive",North Carolina,,
"Environmental Air Systems",,"Advanced Mfg",North Carolina,,
"Maersk",,"Logistics",North Carolina,,
"FIT Precast",,"Advanced Mfg",North Carolina,,
"Aspida Financial",,"Financial Services",North Carolina,,
"Chatsworth Products",,"Data Center Infrastructure",North Carolina,,
"Genentech",,"Life Sciences",North Carolina,,
"Novartis",,"Life Sciences",North Carolina,,
"Pennsylvania Transformer Technology",,"Grid",North Carolina,,
"BorgWarner",,"Automotive",North Carolina,,
"CITEL America",,"Advanced Mfg",North Carolina,,
"Roche",,"Life Sciences",North Carolina,,
"Novartis Gene Therapies",,"Life Sciences",North Carolina,,
"Pacific Life Insurance",,"Financial Services",North Carolina,,
"AWS",,"Data Center",Ohio,,
"Honda/LG Battery",,"Automotive/EV",Ohio,,
"Louis Dreyfus Company",,"Food/Agribusiness",Ohio,,
"Nestlé Purina",,"Food/Pet Food",Ohio,,
"Pharmavite",,"Life Sciences",Ohio,,
"Sheetz",,"Food/Distribution",Ohio,,
"Medpace",,"Life Sciences/CRO",Ohio,,
"Great Day Improvements",,"Manufacturing",Ohio,,
"Smucker's",,"Food/R&D",Ohio,,
"Resilience",,"Life Sciences/Biopharma",Ohio,,
"BJ's Wholesale Club",,"Logistics",Ohio,,
"Encore Technologies",,"Tech/Data Center",Ohio,,
"New Horizons Baking",,"Food/Mfg",Ohio,,
"EGLO USA",,"Distribution",Ohio,,
"Diversified Fall Protection",,"Advanced Mfg",Ohio,,
"Crocs",,"Logistics",Ohio,,
"Gabe's",,"Logistics",Ohio,,
"NSG Group/Pilkington",,"Advanced Mfg/Solar",Ohio,,
"PureCycle Technologies",,"Advanced Mfg/Recycling",Ohio,,
"AMG Vanadium",,"Advanced Mfg/Metals",Ohio,,
"Honeywell Intelligrated",,"Tech/Automation",Ohio,,
"Upstart",,"Tech/Fintech",Ohio,,
"Crown Equipment",,"Advanced Mfg",Ohio,,
"MRI Software",,"Tech/SaaS",Ohio,,
"Oculii",,"Tech/Autonomous",Ohio,,
"GEALAN",,"Distribution",Ohio,,
"Aerospace Lubricants",,"Energy/Chemicals",Ohio,,
"Lubrizol",,"Energy/Chemicals",Ohio,,
"RUPES USA",,"Advanced Mfg",Ohio,,
"Riverain Technologies",,"Healthcare/AI",Ohio,,
"Supply Technologies",,"Logistics",Ohio,,
"Joby Aviation (2nd facility)",,"Aerospace/eVTOL",Ohio,,
"Hims & Hers",,"Healthcare/Digital",Ohio,,
"Revere Plastics Systems",,"Advanced Mfg",Ohio,,
"LEWCO/LogistiQ",,"Advanced Mfg",Ohio,,
"Salvagnini America",,"Advanced Mfg",Ohio,,
"La Linea Verde",,"Food/Agri",Ohio,,
"Poly6 Technologies",,"Advanced Mfg/Aerospace",Ohio,,
"SencorpWhite",,"Advanced Mfg",Ohio,,
"Imasen Bucyrus Technology",,"Automotive",Ohio,,
"Ohio Lumex",,"Energy/Tech",Ohio,,
"Wieland Chase",,"Advanced Mfg",Ohio,,
"Vultr",,"Data Center/AI",Ohio,,
"Westrafo America",,"Grid/Transformers",Ohio,,
"Vallourec",,"Energy/Mfg",Ohio,,
"Joby Aviation (propeller blades)",,"Aerospace/eVTOL",Ohio,,
"LayerZero Power Systems",,"Grid/Data Center",Ohio,,
"Whirlpool",,"Advanced Mfg",Ohio,,
"Steves & Sons",,"Jackson",Georgia,,
"TMC Transformers",,"Grid/Transformers",Georgia,,
"Flock Safety",,"Tech/Security",Georgia,,
"Red Cedar Steel",,"Advanced Mfg",Iowa,,
"Hyundai Steel",,"Steel/Metals",Louisiana,,
"Moderna",,"Life Sciences",Massachusetts,,
"Various AI Data Centers",,"Data Center/AI",Nevada,,
"Switch",,"Data Center",Nevada,,
"Eco King Solutions (Kingsun)",,"Advanced Mfg",North Carolina,,
"Citigroup Technology",,"Financial Services",North Carolina,,
"(Data center development)",,"Data Center",North Dakota,,
"Axium Packaging",,"Advanced Mfg",Ohio,,
"Becker Mining",,"Advanced Mfg",Ohio,,
"ATSG/AMES",,"Aerospace",Ohio,,
"PRC-Saltillo",,"Tech/Healthcare",Ohio,,
"EPC-Columbia",,"Advanced Mfg",Ohio,,
"U.S. Bridge",,"Advanced Mfg/Infrastructure",Ohio,,
"Centrus/Fluor",,"Nuclear/Energy",Ohio,,
"Pacific Manufacturing",,"Automotive/EV",Ohio,,
"Ohio Gratings",,"Advanced Mfg",Ohio,,
"Vaughn Industries",,"Electrical/Renewables",Ohio,,
"Wieland Group",,"Metals",Ohio,,
"Google",,"Data Center/AI",Oklahoma,,
"Mecad USA",,"Advanced Mfg",Oklahoma,,
"Apple",,"Technology",Oregon,,
"Mitsubishi Electric Power Products",,"Grid/Energy",Pennsylvania,,
"First Quality",,"Advanced Mfg",Pennsylvania,,
"Eurofins Lancaster Labs",,"Life Sciences",Pennsylvania,,
"QuaLex Manufacturing",,"Advanced Mfg",Pennsylvania,,
"Quonset Business Park",,"Various",Rhode Island,,
"Isuzu North America",,"Auto",South Carolina,,
"DartPoints",,"Data Center",South Carolina,,
"Safe Industries",,"Industrial",South Carolina,,
"Vermeer Corp",,"Industrial Equipment",South Carolina,,
"Span-America Medical",,"Medical Devices",South Carolina,,
"KADIA USA",,"Industrial",South Carolina,,
"Aran USA",,"Industrial",South Carolina,,
"Georg Utz",,"Advanced Mfg",South Carolina,,
"Coastal Precast Systems",,"Advanced Mfg",South Carolina,,
"Hydrite Chemical",,"Chemicals",South Carolina,,
"Huwell US",,"Consumer Products",South Carolina,,
"JGB Brothers",,"Food",South Carolina,,
"Ironline Metals",,"Advanced Mfg",South Carolina,,
"MCIS",,"Data Center",South Carolina,,
"Fenner Precision Polymers",,"Advanced Mfg",South Carolina,,
"Coastal Ready Mix",,"Advanced Mfg",South Carolina,,
"Woodward",,"Aerospace/Industrial",South Carolina,,
"Rolls-Royce",,"Aerospace",South Carolina,,
"WiJo Pouches NA",,"Consumer",South Carolina,,
"(Data center pipeline)",,"Data Center",South Dakota,,
"LIS Technologies",,"Energy/Nuclear",Tennessee,,
"Heil Trailer International",,"Advanced Mfg",Tennessee,,
"ALUKO Group",,"Advanced Mfg",Tennessee,,
"Korea Zinc",,"Metals",Tennessee,,
"CDF Distributors",,"Advanced Mfg",Tennessee,,
"Carlex Glass America",,"Advanced Mfg",Tennessee,,
"Hyosung HICO",,"Grid/Transformers",Tennessee,,
"Anatolia Cabinet",,"Advanced Mfg",Tennessee,,
"Aqua Membranes",,"Advanced Mfg",Tennessee,,
"Biederman",,"Advanced Mfg",Tennessee,,
"Radiant",,"Energy/Nuclear",Tennessee,,
"Nidec",,"Advanced Mfg",Tennessee,,
"BWXT Nuclear Fuel Services",,"Energy/Nuclear/Defense",Tennessee,,
"Microtex Composites",,"Advanced Mfg",Tennessee,,
"Samsung",,"Semiconductors",Texas,,
"Scotiabank",,"Financial Services",Texas,,
"Prysmian/Encore Wire",,"Grid/Wire",Texas,,
"Bridor USA",,"Food",Texas,,
"GCP Paper",,"Advanced Mfg",Texas,,
"Ferrovial",,"Energy/Solar",Texas,,
"Vantage Data Centers",,"Data Center",Texas,,
"NNA Polymers",,"Chemicals",Texas,,
"SPC Group",,"Food",Texas,,
"Ninth Avenue Foods",,"Food",Texas,,
"MGC Pure Chemicals",,"Semiconductors",Texas,,
"Applied Optoelectronics",,"Tech/Data Center",Texas,,
"Formosa Plastics",,"Chemicals",Texas,,
"MTU Aero Engines",,"Aerospace",Texas,,
"E-Space",,"Aerospace/Space",Texas,,
"Bionova",,"Life Sciences",Texas,,
"Select Water/Mariana Minerals",,"Energy/Lithium",Texas,,
"Inventec",,"Tech",Texas,,
"Embraer",,"Aerospace",Texas,,
"Rowan Digital",,"Data Center",Texas,,
"MGM/VanTran Transformers",,"Grid/Transformers",Texas,,
"Salcomp",,"Tech",Texas,,
"L&T Technology",,"Tech",Texas,,
"Immatics",https://immatics.com,"Life Sciences",Texas,,
"Lefko",,"Advanced Mfg",Texas,,
"NTxBio",,"Life Sciences",Texas,,
"PEGATRON",,"Tech",Texas,,
"Gattefossé",,"Life Sciences",Texas,,
"Gerdau",,"Advanced Mfg",Texas,,
"BMK Pharma",,"Life Sciences",Texas,,
"Yerico Manufacturing",,"Semiconductors",Texas,,
"Cancoil USA",,"Industrial Mfg",Texas,,
"Ariat International",,"Consumer/Apparel",Texas,,
"Innovative Labs",,"Life Sciences",Utah,,
"Bridor",,"Food",Utah,,
"MCM Engineering II",,"Grid/Switchgear",Utah,,
"Holtec/Hi Tech Solutions",,"Nuclear/SMR Mfg",Utah,,
"Ionic Mineral Technologies",,"Critical Minerals",Utah,,
"Integrated Rail & Resources",,"Rail/Resources",Utah,,
"Solstice Advanced Materials",,"Advanced Materials",Virginia,,
"Infinity Global",,"Advanced Mfg",Virginia,,
"Anchor",,"Defense/Maritime",Virginia,,
"Echodyne",,"Defense/Radar",Washington,,
"Frontieras North America",,"Energy/Clean Coal",West Virginia,,
"Calpine",,"Energy/Natural Gas",West Virginia,,
"Microsoft",,"Data Center/AI",Wisconsin,,
"Nestle Purina",,"Food",Wisconsin,,
"Foxconn",,"Tech",Wisconsin,,
"Milwaukee Tool",,"Advanced Mfg",Wisconsin,,
"Catalent",,"Life Sciences",Wisconsin,,
"Enerpac Tool Group, Corp.",,"Manufacturing",Wisconsin,,
"Cascades Holding US Inc.",,"Manufacturing",Wisconsin,,
"Furlani Foods, LLC",,"Manufacturing",Wisconsin,,
"Microbial Discovery Group",,"Manufacturing",Wisconsin,,
"Vermilion Madison Development LLC",,"Construction",Wisconsin,,
"XeteX, LLC",,"Manufacturing",Wisconsin,,
"Associated Milk Producers, Inc.",,"Manufacturing",Wisconsin,,
"Reinhart FoodService, LLC",,"Wholesale Trade",Wisconsin,,
"Schutz Container Systems, Inc.",,"Manufacturing",Wisconsin,,
"WHPC-Regent Street-Madison, LLC",,"Construction",Wisconsin,,
"Meta House Inc.",,"Health Care",Wisconsin,,
"Kin at Freshwater LLC",,"Construction",Wisconsin,,
"Big Lift LLC",,"Wholesale Trade",Wisconsin,,
"Dynamic Ratings, Inc.",,"Manufacturing",Wisconsin,,
"Urnex Brands, LLC",,"Manufacturing",Wisconsin,,
"Worthington Cylinders Wisconsin, LLC",,"Manufacturing",Wisconsin,,
"AmeriLux International, LLC",,"Manufacturing",Wisconsin,,
"Four South Blair, LLC",,"Construction",Wisconsin,,
"Degas, LLC",,"Info and Comm",Wisconsin,,
"FIT Investment Group, LLC",,"Construction",Wisconsin,,
"Kitchen Fresh Foods LLC",,"Manufacturing",Wisconsin,,
"Triangle Manufacturing Company",,"Manufacturing",Wisconsin,,
"Impact Seven, Inc.",,"Health Care",Wisconsin,,
"New Richmond, City of",,"Construction",Wisconsin,,
"Catalent Pharma Solutions, LLC",,"Manufacturing",Wisconsin,,
"Swiss-Tech LLC",,"Manufacturing",Wisconsin,,
"Edgerton, City of",,"Construction",Wisconsin,,
"Oshkosh, City of",,"Health Care",Wisconsin,,
"USV 222, LLC",,"Real Estate",Wisconsin,,
"Brearly Street Property Group LLC",,"Construction",Wisconsin,,
"Couleecap, Inc.",,"Real Estate",Wisconsin,,
"South Milwaukee, City of",,"Public Admin",Wisconsin,,
"Wixon, Inc.",,"Manufacturing",Wisconsin,,
"NOVA GB SPE LLC",,"Real Estate",Wisconsin,,
"Kenosha Downtown Block I LLC",,"Real Estate",Wisconsin,,
"Yaskawa America, Inc",,"Manufacturing",Wisconsin,,
"2510 Good Hope LLC",,"Real Estate",Wisconsin,,
"La Crosse, City of",,"Public Admin",Wisconsin,,
"Balcan USA Inc.",,"Manufacturing",Wisconsin,,
"LAG Family LLC",,"Accommodation",Wisconsin,,
"Belmark Inc",,"Manufacturing",Wisconsin,,
"PS Seasoning & Spices, Inc.",,"Manufacturing",Wisconsin,,
"Eli Lilly and Company",,"Manufacturing",Wisconsin,,
"Stanpac USA LLC",,"Manufacturing",Wisconsin,,
"The DeLong Company, Inc.",,"Wholesale Trade",Wisconsin,,
"Derse, Inc",,"Manufacturing",Wisconsin,,
"Children's Museum of Rock County, Inc.",,"Recreation",Wisconsin,,
"Impact Confections, Inc",,"Manufacturing",Wisconsin,,
"Apple/Corning",,"Tech/Advanced Mfg",Kentucky,,
"Samsung Electronics",,"Semiconductors",Texas,,
"Stellantis",,"Automotive",Multiple,,
"Tesla",,"Automotive/EV",Nevada,,
"Sweetwater",,"Distribution",Indiana,,
"DDP Specialty Electronic Materials",,"Chemicals/Electronics",Michigan,,
"E-Space Inc",,"Aerospace/Space",Texas,,
"Rowan Digital Infrastructure",,"Data Center",Texas,,
"Lollicup USA",,"Manufacturing",Texas,,
"Hennessey",,"Automotive",Texas,,
"Tubefab",,"Manufacturing",Texas,,
"AeroVironment",,"Aerospace/Defense",Utah,,
"Edwards Lifesciences",,"Life Sciences",Utah,,
"Fervo Energy",,"Energy/Geothermal",Utah,,
"Nucor",,"Steel",Utah,,
"ContiTech USA",,"Manufacturing/Rubber",Iowa,,