name,slug,website,hq_city,hq_state,country,employee_count,founded_year,ownership,ticker,segment_slug,sub_segment,tier,composite_score,messaging_hook,notes,linkedin_url,naics_code
TSMC,tsmc,tsmc.com,Hsinchu,,Taiwan,,1987,Public,TSM,fabs,Leading-Edge Logic,A,10,$165B US commitment; Arizona mega-complex,World's largest foundry; N4 and N3 in AZ,,
Intel,intel,intel.com,Santa Clara,CA,USA,,1968,Public,INTC,fabs,Leading-Edge Logic,A,9,Ohio + Arizona expansion; IDM 2.0,Largest US-owned chipmaker,,
Samsung Foundry,samsung-foundry,samsung.com/semiconductor,Suwon,,Korea,,1969,Public,005930.KS,fabs,Leading-Edge Logic,A,7,Taylor Texas mega-fab; delayed but committed,2000+ jobs planned,,
GlobalFoundries,globalfoundries,gf.com,Malta,NY,USA,,2009,Public,GFS,fabs,Mature Nodes,A,9,NY + Vermont expansion; mature node leader,Essential chips for auto/IoT/defense,,
Micron,micron,micron.com,Boise,ID,USA,,1978,Public,MU,fabs,Memory,A,9,Idaho + NY + VA expansion; HBM for AI,Only US-owned memory manufacturer,,
Texas Instruments,texas-instruments,ti.com,Dallas,TX,USA,,1951,Public,TXN,fabs,Specialty/Analog,A,9,Sherman producing; $60B commitment,Analog/embedded chip leader,,
Wolfspeed,wolfspeed,wolfspeed.com,Durham,NC,USA,,1987,Public,WOLF,fabs,Specialty/SiC,A,8,SiC leader; NC + NY expansion,Silicon carbide for EVs/power,,
ON Semiconductor,on-semiconductor,onsemi.com,Scottsdale,AZ,USA,,1999,Public,ON,fabs,Specialty/SiC,A,7,SiC power semiconductor expansion,Auto and industrial power,,
SK Hynix,sk-hynix,skhynix.com,Icheon,,Korea,,1983,Public,000660.KS,fabs,Memory,B,6,Indiana advanced packaging; HBM leader,NVIDIA's HBM supplier,,
ASML,asml,asml.com,Veldhoven,,Netherlands,,1984,Public,ASML,equipment-front-end,Lithography,A,9,Connecticut expansion; EUV monopoly,Only EUV lithography supplier globally,,
Applied Materials,applied-materials,appliedmaterials.com,Santa Clara,CA,USA,,1967,Public,AMAT,equipment-front-end,Deposition/Etch/CMP,A,8,Arizona expansion; Apple partnership,Largest semiconductor equipment company,,
Lam Research,lam-research,lamresearch.com,Fremont,CA,USA,,1980,Public,LRCX,equipment-front-end,Etch/Deposition,A,8,Oregon R&D expansion,Etch and deposition leader,,
Tokyo Electron,tokyo-electron,tel.com,Tokyo,,Japan,,1963,Public,8035.T,equipment-front-end,Deposition/Etch/Clean,A,8,US manufacturing ramp; Austin HQ,Japan's largest equipment maker,,
KLA,kla,kla.com,Milpitas,CA,USA,,1975,Public,KLAC,equipment-front-end,Inspection/Metrology,A,7,Inspection/metrology leader,Defect detection monopoly,,
Axcelis Technologies,axcelis-technologies,axcelis.com,Beverly,MA,USA,,1995,Public,ACLS,equipment-front-end,Ion Implantation,A,7,SiC ion implant leader; new platform,Power semiconductor focus,,
Onto Innovation,onto-innovation,ontoinnovation.com,Wilmington,MA,USA,,2019,Public,ONTO,equipment-front-end,Metrology/Inspection,B,5,Advanced packaging metrology,Formed from Nanometrics + Rudolph,,
Entegris,entegris,entegris.com,Billerica,MA,USA,,1966,Public,ENTG,materials,Filtration/Chemicals/FOUPs,A,8,Colorado + Illinois expansion; $1.4B US commitment,Critical materials and contamination control,,
Shin-Etsu Chemical,shin-etsu-chemical,shinetsu.com,Tokyo,,Japan,,1926,Public,4063.T,materials,Silicon Wafers/Photoresists,B,5,Global wafer leader,300mm wafer dominant,,
Air Products,air-products,airproducts.com,Allentown,PA,USA,,1940,Public,APD,materials,Specialty Gases,B,5,US specialty gas supplier,Serves all major fabs,,
Linde,linde,linde.com,Dublin,Ireland,USA,,1879,Public,LIN,materials,Specialty Gases,B,5,Electronic gases leader,Global presence,,
CMC Materials (Entegris),cmc-materials-entegris,cmcmaterials.com,Aurora,IL,USA,,,Private,,1999,Entegris,Materials,CMP consumables leader; acquired by Entegris,4,https://www.cmcmaterials.com/,,
Amkor Technology,amkor-technology,amkor.com,Tempe,AZ,USA,,1968,Public,AMKR,osat,Advanced Packaging,A,7,US advanced packaging leader,Serves Apple AMD Qualcomm,,
ASE Technology,ase-technology,aseglobal.com,Kaohsiung,,Taiwan,,1984,Public,ASX,osat,Assembly/Test/Packaging,B,5,Global OSAT leader,Packaging for most chipmakers,,
Kulicke & Soffa,kulicke-soffa,kns.com,Fort Washington,PA,USA,,1951,Public,KLIC,equipment-back-end,Wire Bonding/Die Attach,B,5,Packaging equipment leader,Wire bonding dominant,,
SkyWater Technology,skywater-technology,skywatertechnology.com,Bloomington,MN,USA,,2017,Public,SKYT,fabs,Specialty/Foundational,A,8,Austin acquisition; defense foundry,Only pure-play US foundry,,
Polar Semiconductor,polar-semiconductor,polarsemi.com,Bloomington,MN,USA,,N/A,Private,,1999,Fabs,Specialty/Analog,2024-05,https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington,$525M Minnesota expansion; first MN CHIPS recipient,,
X-FAB,x-fab,xfab.com,Lubbock,,Germany,,1992,Public,XFAB,fabs,Specialty/SiC Foundry,A,7,Only US SiC foundry; Lubbock expansion,Analog and SiC foundry,,
Coherent (II-VI),coherent-ii-vi,coherent.com,Saxonburg,PA,USA,,1971,Public,COHR,substrates,SiC/GaN Substrates,A,8,PA SiC expansion; $1B strategic investment,Leading SiC substrate supplier,,
Infineon Technologies,infineon-technologies,infineon.com,Munich,,Germany,,1999,Public,IFNNY,fabs,Specialty/Power,B,6,Dresden expansion; SiC leader,European power semiconductor giant,,
STMicroelectronics,stmicroelectronics,st.com,Geneva,,Switzerland,,1987,Public,STM,fabs,Specialty/SiC,B,6,Catania SiC campus; Italy investment,European IDM with SiC focus,,
ESMC (TSMC/Bosch/Infineon/NXP),esmc-tsmcboschinfineonnxp,esmc.eu,Dresden,,Germany,,2023,JV,,fabs,Mature Nodes,B,6,Dresden JV; European production,TSMC's first European fab,,
SCREEN Semiconductor Solutions,screen-semiconductor-solutions,screen.co.jp,Kyoto,,Japan,,1943,Public,7735.T,equipment-front-end,Wet Clean/Lithography Track,B,5,Cleaning/track systems leader,Essential for fab operations,,
Teradyne,teradyne,teradyne.com,North Reading,MA,USA,,1960,Public,TER,equipment-back-end,Test Systems,B,5,Test equipment leader,Also owns Universal Robots,,
Advantest,advantest,advantest.com,Tokyo,,Japan,,1954,Public,6857.T,equipment-back-end,Test Systems,B,5,Test equipment leader,Strong in HBM testing,,
SUMCO,sumco,sumco.com,Tokyo,,Japan,,1999,Public,3436.T,materials,Silicon Wafers,B,5,Major wafer supplier,Key supplier to foundries,,
SK Siltron,sk-siltron,sksiltron.com,Gumi,,Korea,,2017,Private,SK Group,substrates,SiC Substrates,B,5,Korean SiC substrate player,Part of SK Group,,
Brooks Automation,brooks-automation,brooks.com,Chelmsford,MA,USA,,1978,Public,BRKS,equipment-front-end,Automation/Contamination Control,B,5,Fab automation leader,Clean room equipment,,
Veeco Instruments,veeco-instruments,veeco.com,Plainview,NY,USA,,1945,Public,VECO,equipment-front-end,Deposition/Ion Beam,B,5,Compound semi equipment,GaN/SiC deposition,,
FormFactor,formfactor,formfactor.com,Livermore,CA,USA,,1993,Public,FORM,equipment-back-end,Probe Cards,B,5,Probe card leader,Critical for chip testing,,
Cohu,cohu,cohu.com,Poway,CA,USA,,1947,Public,COHU,equipment-back-end,Test Handlers,B,5,Test handler leader,Automotive focus,,
Powertech Technology (PTI),powertech-technology-pti,pti.com.tw,Taoyuan,,Taiwan,,1997,Public,6239.TW,osat,Advanced Packaging,A,8,$1B panel-level packaging expansion,FOPLP technology leader,,
King Yuan Electronics (KYEC),king-yuan-electronics-kyec,kyec.com.tw,Hsinchu,,Taiwan,,1987,Public,2449.TW,testing,IC Testing Services,A,8,Singapore expansion; AI chip testing surge,World's largest testing house,,
Besi (BE Semiconductor),besi-be-semiconductor,besi.com,Duiven,,Netherlands,,1995,Public,BESI,equipment-back-end,Die Bonding/Hybrid Bonding,A,8,Hybrid bonding leader; 2.5D/3D packaging,Critical for chiplet assembly,,
ASMPT,asmpt,asmpt.com,Hong Kong,,Hong Kong,,1989,Public,0522.HK,equipment-back-end,Assembly/Packaging Equipment,A,7,JOINT3 consortium; advanced packaging,ASM International is largest shareholder,,
DISCO Corporation,disco-corporation,disco.co.jp,Tokyo,,Japan,,1937,Public,6146.T,equipment-back-end,Dicing/Grinding,A,7,Dicing and grinding monopoly,Essential for wafer singulation,,
Ibiden,ibiden,ibiden.co.jp,Ogaki,,Japan,,1912,Public,4062.T,substrates,IC Package Substrates,A,9,Gifu factory; $3.3B expansion,#1 AI server substrate supplier,,
Ajinomoto,ajinomoto,ajinomoto.com,Tokyo,,Japan,,1909,Public,2802.T,materials,ABF Substrates/Film,A,7,ABF film 50% expansion,Monopoly on ABF substrate material,,
Shinko Electric Industries,shinko-electric-industries,shinko.co.jp,Nagano,,Japan,,1946,Public,6967.T,substrates,IC Package Substrates,B,6,AI server substrate growth,Fujitsu Group company,,
Nordson Electronics,nordson-electronics,nordson.com,Westlake,OH,USA,,1954,Public,NDSN,equipment-back-end,Dispensing/Underfill,B,6,Panel-level packaging equipment,Underfill and dispensing leader,,
UTAC,utac,utacgroup.com,Singapore,,Singapore,,1997,Private,TIH/Wise Road,osat,Assembly/Test,B,5,Singapore OSAT leader,Strategic SE Asia location,,
Ardentec,ardentec,ardentec.com,Hsinchu,,Taiwan,,1999,Public,3030.TW,testing,Wafer Probing,B,6,New Taiwan testing plant,Wafer probing focus,,
Unimicron,unimicron,unimicron.com,Taoyuan,,Taiwan,,1990,Public,3037.TW,substrates,IC Package Substrates,A,7,High-end substrate market leader push,Key ABF substrate supplier,,
Kinsus Interconnect,kinsus-interconnect,kinsus.com.tw,Taoyuan,,Taiwan,,2000,Public,3189.TW,substrates,BGA Substrates,B,6,Malaysia expansion considered,BGA substrate specialist,,
SPTS Technologies (KLA),spts-technologies-kla,spts.com,Newport,,UK,,1984,Public,KLA,equipment-front-end,Etch/Deposition/PVD,B,5,KLA packaging equipment subsidiary,Acquired by KLA 2019,,
Hanmi Semiconductor,hanmi-semiconductor,hanmisemi.com,Gyeonggi-do,,Korea,,1980,Public,042700.KQ,equipment-back-end,Sawing/Trim/Form,B,5,Korean packaging equipment maker,Backend equipment,,
Plasma-Therm,plasma-therm,plasmatherm.com,St. Petersburg,FL,USA,,1974,Private,,equipment-back-end,Plasma Dicing,B,5,Plasma dicing leader,Alternative to mechanical dicing,,
Analog Devices,analog-devices,analog.com,Wilmington,MA,USA,,1965,Public,ADI,fabs,Specialty/Analog,A,8,OR + WA + MA expansion; CHIPS funding,Major analog/mixed-signal IDM,,
Renesas Electronics,renesas-electronics,renesas.com,Tokyo,,Japan,,2010,Public,6723.T,fabs,Specialty/Power/MCU,A,7,Kofu fab reopened; SiC + GaN expansion,#1 automotive MCU supplier,,
UMC,umc,umc.com,Hsinchu,,Taiwan,,1980,Public,2303.TW,fabs,Mature Nodes,A,8,Singapore fab expansion; Intel partnership,#3 pure-play foundry,,
Tower Semiconductor,tower-semiconductor,towersemi.com,Migdal HaEmek,,Israel,,1993,Public,TSEM,fabs,Specialty Foundry,A,7,Intel partnership; specialty foundry expansion,RF-SOI and analog specialist,,
Microchip Technology,microchip-technology,microchip.com,Chandler,AZ,USA,,1989,Public,MCHP,fabs,Specialty/MCU,B,6,Oregon + Colorado CHIPS expansion,MCU and analog leader,,
Vishay Intertechnology,vishay-intertechnology,vishay.com,Malvern,PA,USA,,1962,Public,VSH,fabs,Discrete/Passives,A,7,UK Newport Fab acquisition + investment,Discrete semiconductors leader,,
Rohm Semiconductor,rohm-semiconductor,rohm.com,Kyoto,,Japan,,1958,Public,6963.T,fabs,Specialty/SiC,B,6,New SiC fab Japan,Major SiC player,,
Nanya Technology,nanya-technology,nanya.com,New Taipei,,Taiwan,,1995,Public,2408.TW,fabs,Memory/DRAM,B,5,Taiwan DRAM expansion,Formosa Plastics Group,,
Photronics,photronics,photronics.com,Brookfield,CT,USA,,1969,Public,PLAB,materials,Photomasks,A,7,US photomask leader,Only major US photomask company,,
Toppan / Tekscend Photomask,toppan-tekscend-photomask,holdings.toppan.com,Tokyo,,Japan,,1900,Public,7911.T,materials,Photomasks,A,7,Tekscend IPO; IBM partnership,Major Japanese photomask supplier,,
Hoya,hoya,hoya.com,Tokyo,,Japan,,1941,Public,7741.T,materials,Photomask Blanks/EUV,A,7,EUV mask blanks leader,Duopoly with AGC,,
Siltronic,siltronic,siltronic.com,Munich,,Germany,,1968,Public,WAF.DE,materials,Silicon Wafers,A,7,Germany 300mm expansion,#4 global wafer supplier,,
ASM International,asm-international,asm.com,Almere,,Netherlands,,1968,Public,ASM.AS,equipment-front-end,ALD/CVD/Epitaxy,A,7,ALD technology leader,Critical for GAA transistors,,
Lasertec,lasertec,lasertec.co.jp,Yokohama,,Japan,,1960,Public,6920.T,equipment-front-end,EUV Mask Inspection,A,8,EUV mask inspection monopoly,Only EUV mask blank inspector,,
Hitachi High-Tech,hitachi-high-tech,hitachi-hightech.com,Tokyo,,Japan,,1947,Public,Hitachi,equipment-front-end,Etch/Metrology/SEM,A,7,New Japan production facility,Part of Hitachi Group,,
Soitec,soitec,soitec.com,Bernin,,France,,1992,Public,SOI.PA,substrates,SOI Wafers,B,6,SOI wafer technology leader,Critical for RF and FD-SOI,,
Camtek,camtek,camtek.com,Migdal HaEmek,,Israel,,1987,Public,CAMT,equipment-front-end,Inspection/Metrology,A,8,4x revenue growth; Eagle G5 launch,Israeli inspection leader,,
Nova Ltd,nova-ltd,novami.com,Rehovot,,Israel,,1993,Public,NVMI,equipment-front-end,Metrology,A,7,Sentronics acquisition; expanding portfolio,Metrology innovation leader,,
ChipMOS,chipmos,chipmos.com,Hsinchu,,Taiwan,,1997,Public,IMOS,osat,Memory Testing,B,5,Memory testing specialist,Strong in memory OSAT,,
Heraeus Electronics,heraeus-electronics,heraeus-electronics.com,Hanau,,Germany,,1660,Private,Family,materials,Bonding Wire/Die Attach,B,5,Packaging materials leader,German family-owned since 1660,,
Aixtron,aixtron,aixtron.com,Herzogenrath,,Germany,,1983,Public,AIXA.DE,equipment-front-end,MOCVD/CVD,A,7,SiC/GaN MOCVD leader,Compound semi deposition leader,,
Kokusai Electric,kokusai-electric,kokusai-electric.com,Tokyo,,Japan,,1949,Public,6525.T,equipment-front-end,Batch ALD/CVD,B,6,Batch processing equipment,Spun off from Hitachi,,
PDF Solutions,pdf-solutions,pdf.com,Santa Clara,CA,USA,,1991,Public,PDFS,equipment-front-end,Yield Software/eProbe,A,7,eProbe 3D testing contract; yield software,Yield improvement specialist,,
Shinkawa (Yamaha),shinkawa-yamaha,yamaha-robotics.com/shinkawa,Tokyo,,Japan,,1959,Public,Yamaha,equipment-back-end,Wire Bonding/Die Bonding,A,7,Samsung orders; new UTC-RZ1,Part of Yamaha Group,,
Toray Engineering,toray-engineering,toray-eng.com,Tokyo,,Japan,,1926,Public,3402.T,equipment-back-end,Panel-Level Packaging,A,7,Glass panel packaging equipment,Part of Toray Group,,
DNP (Dai Nippon Printing),dnp-dai-nippon-printing,global.dnp,Tokyo,,Japan,,1876,Public,7912.T,materials,Photomasks,A,7,2nm EUV photomask development,Rapidus supplier,,
Diodes Incorporated,diodes-incorporated,diodes.com,Plano,TX,USA,,1959,Public,DIOD,fabs,Discrete/Analog,B,5,Discrete and analog IDM,Global fab network,,
Rapidus,rapidus,rapidus.inc,Tokyo,,Japan,,2022,Private,JV,fabs,Leading-Edge Logic,A,9,Japan 2nm fab; first chips 2025,Japan's national champion,,
AGC Inc,agc-inc,agc.com,Tokyo,,Japan,,1907,Public,5201.T,materials,EUV Mask Blanks/Glass,A,8,EUV mask blanks leader,Duopoly with Hoya,,
JSR Corporation,jsr-corporation,jsr.co.jp,Tokyo,,Japan,,1957,Private,JIC,materials,Photoresists,A,7,Photoresist market leader,JIC national consolidation,,
Tokyo Ohka Kogyo (TOK),tokyo-ohka-kogyo-tok,tok.co.jp,Kawasaki,,Japan,,1940,Public,4186.T,materials,Photoresists,A,7,Korea plant expansion; EUV photoresist,#2 photoresist globally,,
NVIDIA,nvidia,nvidia.com,Santa Clara,CA,USA,,1993,Public,NVDA,fabless,AI/GPU Design,B,6,Santa Clara HQ expansion,World's most valuable company,,
AMD,amd,amd.com,Santa Clara,CA,USA,,1969,Public,AMD,fabless,CPU/GPU Design,B,6,NY + Orlando design centers,CPU/GPU leader; acquired Xilinx,,
Broadcom,broadcom,broadcom.com,Palo Alto,CA,USA,,1961,Public,AVGO,fabless,Networking/Custom Silicon,B,5,$11B R&D; custom AI chips,#2 fabless by market cap,,
Qualcomm,qualcomm,qualcomm.com,San Diego,CA,USA,,1985,Public,QCOM,fabless,Mobile/5G/Automotive,B,5,Wireless technology leader,5G/mobile dominant,,
Marvell Technology,marvell-technology,marvell.com,Wilmington,DE,USA,,1995,Public,MRVL,fabless,Data Center/Networking,B,6,Vietnam + India R&D expansion,Data center semiconductor leader,,
MediaTek,mediatek,mediatek.com,Hsinchu,,Taiwan,,1997,Public,2454.TW,fabless,Mobile/IoT/AI,B,5,India design center growth,#4 fabless globally,,
ARM Holdings,arm-holdings,arm.com,Cambridge,,UK,,1990,Public,ARM,fabless,IP/Architecture Licensing,B,5,CPU architecture monopoly,Powers 99% of smartphones,,
Lattice Semiconductor,lattice-semiconductor,latticesemi.com,Hillsboro,OR,USA,,1983,Public,LSCC,fabless,FPGA/Low Power,B,5,Low-power FPGA leader,Edge AI specialist,,
Cirrus Logic,cirrus-logic,cirrus.com,Austin,TX,USA,,1984,Public,CRUS,fabless,Audio/Mixed-Signal,B,5,Audio IC leader,Major Apple supplier,,
Monolithic Power Systems,monolithic-power-systems,monolithicpower.com,Kirkland,WA,USA,,1997,Public,MPWR,fabless,Power Management,B,5,Power management leader,AI data center focus,,
DB HiTek,db-hitek,dbhitek.com,Bucheon,,Korea,,2000,Public,000990.KS,fabs,Specialty Foundry,B,5,Korea specialty foundry,Image sensor focus,,
Wonik IPS,wonik-ips,ips.co.kr,Pyeongtaek,,Korea,,1999,Public,240810.KQ,equipment-front-end,CVD/ALD/Etch,B,5,Korean equipment leader,Domestic Korean market,,
Soulbrain,soulbrain,soulbrain.co.kr,Seongnam,,Korea,,1986,Public,357780.KQ,materials,Electronic Chemicals,A,7,Taylor TX plant for Samsung,Korean chemicals leader,,
LEENO Industrial,leeno-industrial,leeno.com,Busan,,Korea,,1978,Public,058470.KQ,equipment-back-end,Test Sockets/Probes,B,5,Test socket specialist,Growing with HBM demand,,
Eugene Technology,eugene-technology,eugenetech.co.kr,Yongin,,Korea,,1999,Public,084370.KQ,equipment-front-end,ALD/CVD/Epitaxy,B,6,Samsung ALD supplier,Korean ALD specialist,,
ams-OSRAM,ams-osram,ams-osram.com,Premstätten,,Austria,,1981,Public,AMS.SW,fabs,Sensors/Optoelectronics,A,7,Austria fab expansion; EU Chips Act,Sensors and optoelectronics leader,,
SUSS MicroTec,suss-microtec,suss.com,Garching,,Germany,,1949,Public,SMHN.DE,equipment-front-end,Lithography/Bonding,A,7,AI packaging equipment growth,German lithography equipment,,
VAT Group,vat-group,vatgroup.com,Haag,,Switzerland,,1965,Public,VACN.SW,equipment-front-end,Vacuum Valves,A,7,New R&D center; European production,Global vacuum valve leader,,
IQE,iqe,iqep.com,Cardiff,,UK,,1988,Public,IQE.L,substrates,Compound Semiconductor Wafers,B,5,Compound semi wafer leader,Strategic review underway,,
Melexis,melexis,melexis.com,Tessenderlo,,Belgium,,1988,Public,MELE.BR,fabless,Automotive Sensors,B,5,Automotive sensor specialist,Belgian fabless leader,,
